timestamp,vehicle_id,position_x,position_y,velocity_x,velocity_y
0,1,10.5,20.3,1.2,0.8
1,1,11.7,21.1,1.2,0.8
2,1,12.9,21.900000000000002,1.2,0.8
3,1,14.1,22.700000000000003,1.2,0.8
4,1,15.3,23.5,1.2,0.8
5,1,16.5,24.3,1.2,0.8
6,1,17.7,25.1,1.2,0.8
7,1,18.9,25.900000000000002,1.2,0.8
8,1,20.1,26.700000000000003,1.2,0.8
9,1,21.299999999999997,27.5,1.2,0.8
10,1,22.5,28.3,1.2,0.8
11,1,23.7,29.1,1.2,0.8
12,1,24.9,29.900000000000002,1.2,0.8
13,1,26.1,30.700000000000003,1.2,0.8
14,1,27.3,31.5,1.2,0.8
15,1,28.5,32.3,1.2,0.8
16,1,29.7,33.1,1.2,0.8
17,1,30.9,33.900000000000006,1.2,0.8
18,1,32.099999999999994,34.7,1.2,0.8
19,1,33.3,35.5,1.2,0.8
